equipe1;equipe2;but1;but2;vict1;null;vict2
Bordeaux;Metz;3;1;1.9;3.3;4.33
Clermont;PSG;1;6;7.8;5.55;1.41
Reims;Rennes;2;3;4.06;3.72;2.0
Lorient;Saint-Étienne;6;2;2.38;3.2;3.1
PSG;Lorient;5;1;1.16;6.6;11.0
OlympiqueLyonnais;AngersSCO;3;2;1.4;4.75;8.0
Troyes;Reims;1;0;2.55;3.1;3.0
Saint-Étienne;OlympiqueMarseille;2;4;3.68;3.42;2.11
Montpellier;Brest;1;2;2.15;3.4;3.4
Metz;Monaco;1;2;6.1;3.95;1.57
Clermont;Nantes;2;3;2.65;3.2;2.75
Strasbourg;Lens;1;0;2.2;3.3;3.4
Lille;Bordeaux;0;0;1.5;4.2;6.5
Nice;Rennes;1;1;3.1;3.3;2.3
OlympiqueMarseille;Nice;2;1;1.95;3.87;3.96
Reims;OlympiqueLyonnais;0;0;3.85;3.63;1.92
Rennes;Metz;6;1;1.2;6.3;13.43
Lorient;Strasbourg;0;0;3.17;3.47;2.39
Bordeaux;Montpellier;0;2;2.75;3.77;2.55
AngersSCO;Brest;1;0;2.22;3.44;3.55
Monaco;PSG;3;0;3.2;3.87;2.21
Nantes;Lille;0;1;3.29;2.7;2.63
Lens;Clermont;3;1;1.68;3.55;5.4
Saint-Étienne;Troyes;1;1;1.93;3.55;3.7
Brest;OlympiqueMarseille;1;4;3.4;3.1;2.23
OlympiqueLyonnais;Rennes;2;4;2.1;3.4;3.35
Metz;Lens;0;0;3.3;3.45;2.05
Clermont;Lorient;0;2;2.35;2.7;3.6
AngersSCO;Reims;0;1;2.25;2.8;3.65
Strasbourg;Monaco;1;0;2.45;2.95;3.1
PSG;Bordeaux;3;0;1.12;7.5;19.0
Troyes;Nantes;1;0;2.68;3.36;2.89
Montpellier;Nice;0;0;2.8;3.4;2.2
Lille;Saint-Étienne;0;0;1.65;4.02;5.15
OlympiqueMarseille;Monaco;0;1;2.35;3.25;3.16
Lille;Clermont;4;0;1.72;3.6;5.24
Rennes;AngersSCO;2;0;1.43;4.6;7.5
Bordeaux;Troyes;0;2;2.3;3.3;3.15
Reims;Strasbourg;1;1;3.4;3.15;2.3
Nantes;Montpellier;2;0;2.15;3.35;3.55
Saint-Étienne;Metz;1;0;2.0;3.25;4.1
Nice;PSG;1;0;4.0;4.2;1.7
Lens;Brest;0;1;1.75;3.7;4.6
Lorient;OlympiqueLyonnais;1;4;4.22;3.75;1.83
OlympiqueLyonnais;Lille;0;1;1.8;3.9;4.2
Troyes;OlympiqueMarseille;1;1;4.6;3.8;1.75
AngersSCO;Lens;1;2;3.1;2.7;2.5
Brest;Lorient;0;1;2.0;3.0;3.9
Clermont;Bordeaux;1;1;1.71;3.75;4.1
Metz;Nantes;0;0;2.8;3.2;2.4
Monaco;Reims;1;2;1.5;3.6;6.5
PSG;Saint-Étienne;3;1;1.19;7.1;13.5
Strasbourg;Nice;0;0;2.05;3.23;3.23
Montpellier;Rennes;2;4;3.3;3.4;2.1
OlympiqueMarseille;Clermont;0;2;1.5;4.2;6.25
Bordeaux;Monaco;1;1;4.8;3.9;1.67
Saint-Étienne;Strasbourg;2;2;3.7;3.35;1.9
Rennes;Troyes;4;1;1.35;4.55;7.0
Lorient;Montpellier;0;1;2.5;3.35;2.5
Reims;Brest;1;1;2.25;3.3;2.9
Nice;AngersSCO;1;0;1.64;3.65;4.6
Nantes;PSG;3;1;6.25;4.2;1.5
Lens;OlympiqueLyonnais;1;1;2.77;3.25;2.18
Lille;Metz;0;0;1.51;4.12;7.94
Metz;OlympiqueMarseille;1;2;4.14;3.63;1.72
Lens;Bordeaux;3;2;1.44;4.19;5.94
Clermont;Saint-Étienne;1;2;2.2;3.3;3.1
AngersSCO;Strasbourg;0;1;3.0;3.3;2.25
Brest;Troyes;5;1;1.91;3.4;4.0
Nantes;Reims;1;0;2.1;3.1;3.5
Monaco;Lorient;0;0;1.33;4.6;7.5
OlympiqueLyonnais;Nice;2;0;2.02;3.75;3.5
Montpellier;Lille;0;1;3.15;3.6;2.18
PSG;Rennes;1;0;1.44;4.5;7.0
Lille;PSG;1;5;4.1;3.65;1.8
Rennes;Brest;2;0;1.55;4.1;5.4
Reims;Bordeaux;5;0;2.08;3.3;3.06
Troyes;Metz;0;0;2.09;3.21;2.97
Strasbourg;Nantes;1;0;1.86;3.35;3.69
Nice;Clermont;0;1;1.61;3.69;4.65
Lorient;Lens;2;0;3.11;3.26;2.09
Monaco;OlympiqueLyonnais;2;0;2.17;3.82;3.01
Saint-Étienne;Montpellier;3;1;2.67;3.35;2.34
OlympiqueMarseille;AngersSCO;5;2;1.66;4.18;5.75
OlympiqueLyonnais;OlympiqueMarseille;2;1;2.45;3.4;2.65
AngersSCO;Saint-Étienne;0;1;2.15;3.3;3.4
PSG;Reims;4;0;1.22;6.7;12.5
Montpellier;Monaco;3;2;4.1;3.5;1.92
Nantes;Lorient;4;2;2.1;3.11;3.21
Clermont;Rennes;2;1;3.45;3.35;1.93
Bordeaux;Strasbourg;4;3;3.16;3.21;2.08
AngersSCO;Troyes;2;1;2.05;3.16;3.35
Metz;Nice;0;2;3.69;3.35;1.85
Lens;OlympiqueMarseille;0;2;2.55;3.4;2.7
Brest;Lille;2;0;2.95;3.5;2.3
OlympiqueLyonnais;Saint-Étienne;1;0;1.33;4.55;7.5
Montpellier;Troyes;0;1;1.65;4.02;5.1
Clermont;Strasbourg;0;2;2.73;3.33;2.61
Lille;Lorient;3;1;1.57;4.07;5.95
OlympiqueMarseille;Lille;1;1;2.48;3.05;2.71
Troyes;OlympiqueLyonnais;0;1;3.64;3.59;1.75
Reims;Metz;0;1;1.91;3.3;4.0
Lorient;AngersSCO;0;0;2.3;3.25;3.0
Strasbourg;Montpellier;3;1;1.83;3.6;4.0
Monaco;Clermont;4;0;1.45;4.5;6.5
Rennes;Bordeaux;6;0;1.4;4.75;7.0
PSG;Brest;2;0;1.18;7.0;15.0
Saint-Étienne;Lens;1;2;3.1;3.3;2.25
Nice;Nantes;2;1;1.74;3.55;4.15
OlympiqueLyonnais;PSG;1;1;4.54;4.58;1.73
Nantes;Monaco;0;0;3.4;3.54;2.27
Metz;Strasbourg;0;2;3.32;3.56;2.3
Clermont;Reims;0;0;2.41;3.46;3.2
Brest;Nice;0;3;2.99;3.45;2.35
Lens;Rennes;1;0;2.79;3.45;2.49
Bordeaux;OlympiqueMarseille;0;1;3.4;3.4;2.1
Troyes;Brest;1;1;2.43;3.62;2.77
Saint-Étienne;Nantes;0;1;2.6;3.57;2.6
Lorient;PSG;1;1;8.6;5.85;1.31
Nice;Lens;2;1;2.12;3.58;3.35
Bordeaux;Lille;2;3;4.0;3.7;1.89
Montpellier;AngersSCO;4;1;2.27;3.5;3.1
OlympiqueLyonnais;Metz;1;1;1.22;6.95;11.5
OlympiqueMarseille;Reims;1;1;1.63;3.98;5.35
Monaco;Rennes;2;1;2.16;3.57;3.25
PSG;Monaco;2;0;1.43;4.7;7.0
Strasbourg;OlympiqueMarseille;0;2;2.47;3.4;2.8
Troyes;Bordeaux;1;2;2.3;3.43;3.1
Metz;Lorient;4;1;2.3;3.47;3.05
AngersSCO;Clermont;0;1;1.96;3.45;4.0
Rennes;Nice;1;2;2.1;3.43;3.57
Lille;OlympiqueLyonnais;0;0;2.3;3.43;3.1
Reims;Saint-Étienne;2;0;2.1;2.95;3.0
Brest;Montpellier;0;4;1.9;3.2;3.35
Nantes;Lens;3;2;2.61;3.52;2.88
Bordeaux;OlympiqueLyonnais;2;2;5.0;4.2;1.61
Nice;Strasbourg;0;3;1.83;3.6;4.33
Reims;AngersSCO;1;2;2.4;3.0;3.2
Montpellier;Clermont;1;0;2.15;3.5;3.25
Monaco;Metz;4;0;1.3;5.0;10.0
Lorient;Nantes;0;1;2.8;3.13;2.6
Saint-Étienne;Rennes;0;5;4.2;3.6;1.83
Lens;PSG;1;1;4.5;4.33;1.6
Lille;Troyes;2;1;1.36;4.75;7.0
OlympiqueMarseille;Brest;1;2;1.53;4.33;5.5
PSG;Nice;0;0;1.33;5.75;7.25
Rennes;Lille;1;2;2.15;3.35;3.25
Nantes;OlympiqueMarseille;0;1;3.4;3.6;2.0
OlympiqueLyonnais;Reims;1;2;1.37;5.25;6.75
Clermont;Lens;2;2;2.7;3.6;2.35
AngersSCO;Monaco;1;3;3.0;3.4;2.25
Troyes;Lorient;2;0;2.3;3.4;2.95
Strasbourg;Bordeaux;5;2;1.83;3.6;4.0
Metz;Montpellier;1;3;2.45;3.35;2.75
Brest;Saint-Étienne;1;0;2.2;3.55;3.0
OlympiqueMarseille;Troyes;1;0;1.46;4.56;6.09
Montpellier;OlympiqueLyonnais;0;1;4.0;4.2;1.7
Lorient;Rennes;0;2;3.5;3.45;2.0
Monaco;Strasbourg;1;1;1.5;4.4;5.75
Bordeaux;Brest;1;2;2.15;3.6;3.15
Reims;Clermont;1;0;2.65;3.3;2.6
Saint-Étienne;PSG;1;3;8.5;6.0;1.28
Nice;Metz;0;1;1.46;4.38;6.57
Lille;Nantes;1;1;1.62;3.82;5.28
Lens;AngersSCO;2;2;1.91;3.6;4.0
Clermont;Nice;1;2;3.15;3.55;2.23
AngersSCO;Lorient;1;0;1.77;3.65;4.34
Strasbourg;Reims;1;1;1.87;3.43;4.11
Troyes;Saint-Étienne;0;1;2.46;3.51;2.68
Metz;Bordeaux;3;3;2.35;3.51;3.12
Brest;Lens;4;0;2.78;3.43;2.23
Rennes;Montpellier;2;0;1.5;4.7;5.8
PSG;Nantes;3;1;1.24;6.2;11.5
Monaco;Lille;2;2;2.15;3.5;3.4
Rennes;OlympiqueLyonnais;4;1;2.98;3.72;2.31
Nice;Montpellier;0;1;1.73;4.2;4.5
Saint-Étienne;Clermont;3;2;2.48;3.2;2.85
Reims;Monaco;0;0;4.0;3.45;1.88
Nantes;Strasbourg;2;2;2.23;3.25;3.2
Lorient;Brest;1;2;2.04;3.4;3.5
OlympiqueMarseille;Metz;0;0;1.4;4.7;7.0
Bordeaux;PSG;2;3;9.2;6.1;1.28
Lille;AngersSCO;1;1;1.84;3.5;4.55
Lens;Troyes;4;0;1.65;4.1;5.0
Clermont;OlympiqueMarseille;0;1;3.0;3.5;2.3
Brest;Monaco;2;0;4.2;3.9;1.8
Troyes;Rennes;2;2;3.42;3.27;1.99
Strasbourg;Lorient;4;0;2.02;3.23;3.38
Montpellier;Nantes;2;0;2.12;3.26;3.1
Bordeaux;Reims;3;2;2.42;3.19;2.68
AngersSCO;Nice;1;2;2.85;3.3;2.55
OlympiqueLyonnais;Lens;2;1;1.61;4.38;5.25
Metz;Saint-Étienne;1;1;2.65;3.3;2.45
PSG;Lille;2;1;1.22;5.0;9.1
Nice;OlympiqueMarseille;1;1;2.4;3.5;2.8
OlympiqueMarseille;PSG;0;0;5.65;4.48;1.57
Monaco;Montpellier;3;1;1.35;5.17;7.11
Lens;Metz;4;1;1.63;4.17;5.54
Rennes;Strasbourg;1;0;1.92;3.68;4.18
Reims;Troyes;1;2;2.09;3.36;3.45
Lorient;Bordeaux;1;1;2.09;3.65;3.57
Nice;OlympiqueLyonnais;3;2;2.69;3.7;2.36
Lille;Brest;1;1;1.63;4.34;5.85
Nantes;Clermont;2;1;2.0;3.5;3.4
Saint-Étienne;AngersSCO;2;2;2.5;3.45;2.77
OlympiqueMarseille;Lorient;4;1;1.5;4.06;5.34
Montpellier;Lens;1;0;2.82;3.56;2.16
Bordeaux;Nantes;1;1;2.85;3.39;2.6
Brest;Reims;1;1;2.32;3.3;3.36
Strasbourg;Saint-Étienne;5;1;2.02;3.7;3.77
Metz;Rennes;0;3;4.22;3.49;1.97
Troyes;Nice;1;0;3.68;3.7;2.05
OlympiqueLyonnais;Monaco;2;0;2.2;3.7;3.0
Clermont;Lille;1;0;3.17;3.4;2.27
PSG;AngersSCO;2;1;1.25;6.6;12.67
Saint-Étienne;OlympiqueLyonnais;1;1;3.75;3.75;1.95
Lille;OlympiqueMarseille;2;0;2.47;3.4;2.9
AngersSCO;Metz;3;2;2.0;3.4;4.1
Nantes;Troyes;2;0;1.87;3.6;4.45
Monaco;Bordeaux;3;0;1.47;4.75;6.75
Lorient;Clermont;1;1;2.2;3.4;3.5
Rennes;PSG;2;0;4.6;4.15;1.55
Nice;Brest;2;1;1.83;3.7;4.45
Montpellier;Strasbourg;1;1;2.6;3.4;2.8
Lens;Reims;2;0;1.95;3.35;4.45
OlympiqueMarseille;Lens;2;3;1.83;3.8;4.4
Clermont;Monaco;1;3;3.75;3.55;2.05
Troyes;AngersSCO;1;1;2.8;3.15;2.75
Brest;Metz;1;2;2.1;3.45;3.7
Reims;Nantes;3;1;2.7;3.1;2.9
Bordeaux;Rennes;1;1;3.42;3.5;2.17
PSG;Montpellier;2;0;1.2;7.75;13.0
OlympiqueLyonnais;Lorient;1;1;1.4;5.0;7.75
Strasbourg;Lille;1;2;2.7;3.15;2.7
Saint-Étienne;Nice;0;3;3.2;3.35;2.3
Metz;PSG;1;2;11.0;6.75;1.26
OlympiqueLyonnais;Troyes;3;1;1.32;5.75;9.25
Lorient;Nice;1;0;3.25;3.25;2.35
Lens;Strasbourg;0;1;2.05;3.4;3.8
AngersSCO;OlympiqueMarseille;0;0;3.35;3.2;2.35
Rennes;Clermont;6;0;2.2;3.25;3.6
Nantes;Brest;3;1;2.1;3.3;3.85
Montpellier;Bordeaux;3;3;2.15;3.45;3.45
Monaco;Saint-Étienne;3;1;1.51;4.4;6.75
Lille;Reims;2;1;1.8;3.35;5.5
PSG;OlympiqueLyonnais;2;1;1.38;5.25;8.0
OlympiqueMarseille;Rennes;2;0;1.85;3.65;4.33
Clermont;Brest;1;1;1.8;3.8;4.45
AngersSCO;Nantes;1;4;2.1;3.15;3.95
Reims;Lorient;0;0;2.25;3.4;3.35
Troyes;Montpellier;1;1;2.35;3.45;3.0
Nice;Monaco;2;2;2.9;3.35;2.5
Saint-Étienne;Bordeaux;1;2;1.95;3.3;3.75
Lens;Lille;1;0;2.55;3.2;2.95
Strasbourg;Metz;3;0;1.91;3.45;4.35
OlympiqueLyonnais;Strasbourg;3;1;1.53;4.45;6.5
Nantes;Nice;0;2;3.25;3.25;2.23
Bordeaux;Lens;2;3;3.2;3.5;2.25
Brest;AngersSCO;1;1;2.75;3.2;2.7
Metz;Troyes;0;2;2.65;3.15;2.9
Rennes;Reims;0;2;1.77;3.5;5.25
Montpellier;Saint-Étienne;2;0;2.3;3.66;3.05
Monaco;OlympiqueMarseille;0;2;2.05;3.6;3.5
PSG;Clermont;4;0;1.35;5.75;8.25
Lorient;Lille;2;1;3.6;3.35;2.15
Reims;PSG;0;2;17.0;8.25;1.17
Lille;Montpellier;2;1;1.44;3.98;6.58
Strasbourg;Brest;3;1;1.95;3.6;3.9
AngersSCO;Rennes;2;0;2.9;3.2;2.6
Clermont;Metz;2;2;1.62;3.75;6.0
Lens;Lorient;2;2;1.62;3.95;5.5
Troyes;Monaco;1;2;4.4;3.75;1.83
OlympiqueMarseille;Saint-Étienne;3;1;1.71;3.85;5.0
Nice;Bordeaux;4;0;1.65;3.9;5.75
Nantes;OlympiqueLyonnais;0;1;4.75;3.95;1.74
Rennes;Nantes;1;0;1.86;3.68;4.15
Strasbourg;Troyes;1;1;2.1;3.45;3.7
Metz;Reims;1;1;2.35;3.05;3.45
Bordeaux;AngersSCO;1;1;3.0;3.15;2.55
Montpellier;Lorient;3;1;2.25;3.4;3.3
OlympiqueLyonnais;Clermont;3;3;1.36;4.26;6.57
Saint-Étienne;Lille;1;1;3.0;3.2;2.55
Monaco;Lens;0;2;1.44;3.98;5.61
Brest;PSG;2;4;11.0;6.5;1.27
OlympiqueMarseille;Bordeaux;2;2;1.54;4.3;6.5
Lens;Saint-Étienne;2;2;1.77;3.5;4.0
Clermont;Troyes;2;0;1.95;3.65;3.8
Brest;Rennes;1;1;3.45;3.4;2.2
Nantes;Metz;2;0;2.15;3.25;3.75
Reims;Montpellier;3;3;2.55;3.3;2.9
AngersSCO;OlympiqueLyonnais;3;0;4.5;3.72;1.83
PSG;Strasbourg;4;2;1.25;7.0;11.0
Lille;Nice;0;4;1.83;3.4;4.3
Lorient;Monaco;1;0;4.25;3.5;1.91
Montpellier;OlympiqueMarseille;2;3;3.35;3.4;2.2
Metz;Lille;3;3;5.0;3.5;1.68
Strasbourg;AngersSCO;0;2;2.15;3.3;3.6
Saint-Étienne;Lorient;1;1;2.3;3.4;3.2
Nice;Reims;0;0;1.83;3.45;4.8
Bordeaux;Clermont;0;2;2.6;3.2;2.9
Rennes;Lens;1;1;1.75;3.7;4.25
Troyes;PSG;1;2;8.5;5.5;1.35
OlympiqueLyonnais;Brest;1;1;1.33;5.0;8.5
Monaco;Nantes;1;1;1.44;4.6;7.5
Monaco;OlympiqueMarseille;2;3;2.25;3.72;3.28
Strasbourg;Lorient;1;1;2.14;3.7;3.58
Nantes;Ajaccio;2;2;1.95;3.3;3.65
Brest;Troyes;2;1;2.04;3.5;3.2
Montpellier;Reims;1;1;2.43;3.4;2.62
Lille;AngersSCO;1;0;1.33;4.95;7.45
PSG;Auxerre;5;0;1.08;10.0;23.0
Rennes;Toulouse;2;1;1.53;4.2;6.0
Lens;Clermont;2;1;1.5;4.48;6.15
OlympiqueLyonnais;Nice;1;1;1.62;4.25;5.05
OlympiqueMarseille;OlympiqueLyonnais;1;0;2.21;3.6;3.1
Lille;Rennes;1;1;2.3;3.6;2.95
Nice;Brest;1;0;1.78;3.71;4.22
Clermont;Montpellier;1;1;2.29;3.51;2.89
Reims;Nantes;1;0;2.12;3.44;3.26
Toulouse;Monaco;0;2;3.27;3.78;2.01
Lorient;PSG;1;2;8.33;5.54;1.3
AngersSCO;Lens;1;2;4.32;3.9;1.77
Ajaccio;Strasbourg;4;2;2.55;3.15;2.8
Troyes;Auxerre;1;1;2.0;3.15;4.1
OlympiqueLyonnais;Lille;1;0;2.08;3.45;3.05
Lorient;Nice;1;2;2.71;3.15;2.42
Rennes;Montpellier;3;0;1.4;5.2;7.0
Brest;Reims;0;0;2.4;3.5;2.8
Monaco;AngersSCO;2;0;1.37;5.25;7.5
Nantes;Clermont;1;1;1.95;3.8;3.6
Auxerre;Ajaccio;1;0;2.6;3.25;2.75
Strasbourg;OlympiqueMarseille;2;2;3.08;3.57;2.0
PSG;Troyes;4;3;1.08;9.5;29.0
Lens;Toulouse;3;0;1.54;3.95;4.45
Lille;Monaco;4;3;2.5;3.6;2.55
Nice;Nantes;1;1;1.81;3.75;4.1
Troyes;Lorient;2;2;2.55;3.55;2.55
Toulouse;Strasbourg;2;2;2.32;3.65;2.8
Reims;Auxerre;2;1;1.84;3.75;4.0
Clermont;Brest;1;3;2.55;3.5;2.6
AngersSCO;Rennes;1;2;3.9;3.8;1.84
OlympiqueMarseille;Lens;0;1;1.95;3.77;3.57
Montpellier;OlympiqueLyonnais;1;2;4.22;4.22;1.85
Ajaccio;PSG;0;3;10.72;5.7;1.28
PSG;OlympiqueMarseille;1;0;1.4;4.8;7.5
Monaco;Clermont;1;1;1.33;5.0;9.5
Nantes;Brest;4;1;2.1;3.25;3.5
Auxerre;Nice;1;1;3.7;3.4;2.0
Rennes;OlympiqueLyonnais;3;2;2.3;3.5;2.87
Troyes;Ajaccio;1;1;2.3;3.1;3.3
Toulouse;AngersSCO;3;2;1.91;3.5;3.9
Lens;Montpellier;1;0;1.49;4.45;5.7
Lorient;Reims;0;0;2.15;3.0;3.0
Strasbourg;Lille;0;3;2.58;3.45;2.68
Lille;Lens;1;0;2.43;3.45;2.75
Rennes;Nantes;3;0;1.6;4.48;5.9
AngersSCO;Strasbourg;2;3;2.87;3.52;2.6
Brest;Lorient;1;2;2.46;3.66;2.97
Clermont;Auxerre;2;1;2.22;3.7;3.38
Nice;Troyes;3;2;1.72;4.12;5.25
Montpellier;Monaco;0;2;3.84;3.96;1.99
Reims;PSG;0;0;9.8;6.4;1.23
OlympiqueMarseille;Ajaccio;1;2;1.38;4.6;9.26
OlympiqueLyonnais;Toulouse;1;1;1.43;5.05;6.05
Lens;OlympiqueLyonnais;1;0;2.55;3.85;2.5
Monaco;Nantes;4;1;1.57;4.4;5.1
Troyes;Reims;2;2;2.6;3.35;2.63
Toulouse;Montpellier;4;2;2.1;3.45;3.4
Auxerre;Brest;1;1;2.43;3.35;2.8
Ajaccio;Clermont;1;3;2.4;3.35;2.88
Lorient;Lille;2;1;2.95;3.4;2.33
PSG;Nice;2;1;1.18;7.63;14.3
Strasbourg;Rennes;1;3;3.0;3.4;2.3
AngersSCO;OlympiqueMarseille;0;3;4.2;3.6;1.83
OlympiqueLyonnais;PSG;0;1;4.2;4.5;1.55
Nantes;Lens;0;0;2.82;3.61;2.29
Nice;AngersSCO;0;1;1.5;4.11;6.41
Clermont;Troyes;1;3;2.26;3.44;2.99
Brest;Ajaccio;0;1;2.02;3.4;3.58
OlympiqueMarseille;Rennes;1;1;2.12;3.54;3.18
Reims;Monaco;0;3;3.5;3.35;2.05
Lille;Toulouse;2;1;1.82;3.9;4.0
Montpellier;Strasbourg;2;1;2.7;3.6;2.45
Auxerre;Lorient;1;3;2.8;3.3;2.55
Monaco;OlympiqueLyonnais;2;1;2.5;3.55;2.58
Rennes;Auxerre;5;0;1.49;4.36;6.01
Lorient;Nantes;3;2;2.48;3.09;2.93
Ajaccio;Nice;0;1;3.01;3.33;2.3
Toulouse;Reims;1;0;2.13;3.46;3.24
AngersSCO;Montpellier;2;1;2.49;3.42;2.67
Strasbourg;Clermont;0;0;1.6;3.75;4.7
OlympiqueMarseille;Lille;2;1;1.96;3.75;3.65
PSG;Brest;1;0;1.05;9.67;22.09
Lens;Troyes;1;0;1.53;4.0;6.5
Lorient;OlympiqueLyonnais;3;1;4.16;4.23;1.74
Nice;Monaco;0;1;2.7;3.4;2.5
Troyes;Rennes;1;1;4.67;3.87;1.68
Clermont;Toulouse;2;0;2.43;3.47;2.72
Reims;Lens;1;1;3.42;3.52;2.03
Brest;Strasbourg;1;1;2.86;3.43;2.34
Ajaccio;Lorient;0;1;2.4;3.3;2.88
Montpellier;Lille;1;3;3.45;3.7;2.02
Nantes;PSG;0;3;5.95;5.6;1.42
OlympiqueLyonnais;AngersSCO;5;0;1.31;5.8;8.4
Auxerre;OlympiqueMarseille;0;2;4.4;3.95;1.75
Toulouse;PSG;0;3;13.75;7.95;1.17
Rennes;Brest;3;1;1.31;6.25;8.0
Lens;Lorient;5;2;1.53;4.42;5.8
OlympiqueMarseille;Clermont;1;0;1.44;4.78;6.85
Lille;Nice;1;2;2.26;3.52;3.1
Strasbourg;Nantes;1;1;1.53;4.43;5.95
OlympiqueLyonnais;Auxerre;2;1;1.28;5.95;10.25
Montpellier;Ajaccio;2;0;1.9;3.67;3.97
AngersSCO;Reims;2;4;2.25;3.42;3.2
Monaco;Troyes;2;4;1.28;6.05;9.9
PSG;Monaco;1;1;1.35;5.5;6.5
Reims;OlympiqueLyonnais;1;1;4.2;4.0;1.77
Lorient;Clermont;2;1;2.05;3.45;3.7
Nice;OlympiqueMarseille;0;3;2.65;3.4;2.6
Brest;Montpellier;0;7;1.9;3.7;3.8
Troyes;AngersSCO;3;1;2.45;3.3;2.95
Nantes;Toulouse;3;1;2.4;3.45;2.9
Lens;Rennes;2;1;2.63;3.75;2.48
Auxerre;Strasbourg;1;0;3.68;3.48;2.03
Ajaccio;Lille;1;3;3.2;3.25;2.17
Lille;PSG;1;7;5.2;4.5;1.52
Rennes;Ajaccio;2;1;1.33;4.75;8.0
Clermont;Nice;1;0;3.6;3.5;1.95
Toulouse;Lorient;2;2;2.1;3.4;3.4
AngersSCO;Brest;1;3;2.3;3.3;2.88
Montpellier;Auxerre;1;2;2.1;3.3;3.5
Strasbourg;Reims;1;1;1.77;3.6;4.7
OlympiqueMarseille;Nantes;2;1;1.57;4.0;5.8
Monaco;Lens;1;4;1.79;3.75;4.35
OlympiqueLyonnais;Troyes;4;1;1.34;5.0;7.6
Brest;OlympiqueMarseille;1;1;3.7;3.7;1.89
Nice;Strasbourg;1;1;2.15;3.3;3.3
Auxerre;AngersSCO;2;2;2.28;3.3;3.2
Ajaccio;Lens;0;0;3.35;3.15;2.31
Reims;Clermont;2;4;2.07;3.25;3.8
Troyes;Toulouse;0;3;2.7;3.4;2.6
PSG;Montpellier;5;2;1.09;11.0;24.0
Monaco;Rennes;1;1;2.14;3.35;3.15
Nantes;Lille;1;1;2.59;3.06;2.59
OlympiqueMarseille;Reims;4;1;1.55;3.9;6.5
Rennes;Lorient;0;1;1.33;5.0;9.5
Lens;Brest;3;2;1.5;4.33;5.0
Montpellier;Troyes;3;2;2.15;3.3;3.2
AngersSCO;Nantes;0;0;2.38;3.2;2.9
Lille;Auxerre;4;1;1.75;3.5;4.5
Toulouse;Nice;1;1;2.8;3.3;2.4
Clermont;PSG;0;5;9.33;7.0;1.25
Strasbourg;Monaco;1;2;3.2;3.3;2.3
OlympiqueLyonnais;Ajaccio;2;1;1.36;4.91;7.68